sku,upc,prod_title,category,msrp_price,customer_price,qty_in_stock,description,brand,specification,images,pdfs
ZHQ-00001,,Microsoft Surface Laptop 7 15 16GB 512GB Platinum | Business Laptop,Hardware,"$1,599.20","$1,599.20",1,Microsoft Surface Laptop 7 15 16GB 512GB Platinum | Business Laptop,N/A,,https://a5it.com/product/microsoft-lpt7-15-eli-16-512-platinum/ZHQ-00001,
ZYU-00026,,Microsoft Surface Laptop 7 15 16GB 1TB Graphite | Copilot+ PC,Hardware,"$1,799.11","$1,799.11",1,Microsoft Surface Laptop 7 15 16GB 1TB Graphite | Copilot+ PC,N/A,,https://a5it.com/product/microsoft-lpt7-15-eli-16-1tb-graphite/ZYU-00026,
B85MTUT#ABA,,"HP Nimble Storage HF40C 126 TB HDD 11.52 TB SSD | SAN, Rack-Mount",Hardware,"$2,358.28","$2,358.28",1,"HP Nimble Storage HF40C 126 TB HDD 11.52 TB SSD | SAN, Rack-Mount",N/A,,https://a5it.com/product/hp-14-ebxg1i14ai-u7258v-32g-1t-ng/B85MTUT%23ABA,
EAX15-100NAS,,"NETGEAR EAX15 AX1800 WiFi 6 Mesh Extender | Wi-Fi 6, Gigabit",Hardware,$109.57,$109.57,1,"NETGEAR EAX15 AX1800 WiFi 6 Mesh Extender | Wi-Fi 6, Gigabit",N/A,,https://a5it.com/product/lenovo-ts-t14s-sd-g6-sd-x1p-16g-11p/21N1002DUS,
21G2001UUS,,Lenovo ThinkPad P14s G5 Intel Core Ultra 5 125H 16GB 512GB | Workstation,Hardware,"$1,599.77","$1,599.77",1,Lenovo ThinkPad P14s G5 Intel Core Ultra 5 125H 16GB 512GB | Workstation,N/A,,https://a5it.com/product/lenovo-ts-p14s-g5-ult5-16g-512g-11p/21G2001UUS,
CAX30S-100NAS,,Netgear Nighthawk AX6 CAX30S WiFi 6 Cable Modem Router | DOCSIS 3.1,Hardware,$409.96,$409.96,1,Netgear Nighthawk AX6 CAX30S WiFi 6 Cable Modem Router | DOCSIS 3.1,N/A,,https://a5it.com/product/hp-14-ebxg1a14ai-rai7p360-32-1-ng/B5PH8UT%23ABA,
CAX30S-100NAS,,Netgear Nighthawk AX6 CAX30S WiFi 6 Cable Modem Router | DOCSIS 3.1,Hardware,$409.96,$409.96,1,Netgear Nighthawk AX6 CAX30S WiFi 6 Cable Modem Router | DOCSIS 3.1,N/A,,https://a5it.com/product/netgear-ax6-wifi-6-cable-modem-router/CAX30S-100NAS,
EAX15-100NAS,,"NETGEAR EAX15 AX1800 WiFi 6 Mesh Extender | Wi-Fi 6, Gigabit",Hardware,$109.57,$109.57,1,"NETGEAR EAX15 AX1800 WiFi 6 Mesh Extender | Wi-Fi 6, Gigabit",N/A,,https://a5it.com/product/netgear-ax1800-wifi-6-mesh-extender/EAX15-100NAS,
CUBNADL048,,Cubi N ADL 048US,Hardware,$379.00,$379.00,1,Cubi N ADL 048US,N/A,,https://a5it.com/product/msi-cubi-n-adl-048us/CUBNADL048,
PRODP2113M497,,PRO DP21 13M 497US,Hardware,$799.00,$799.00,1,PRO DP21 13M 497US,N/A,,https://a5it.com/product/msi-pro-dp21-13m-497us/PRODP2113M497,
